max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,val_accuracy,val_precision,val_recall,val_f1
10.0,sqrt,1,2,200,0.7367602759692936,0.7581274382314694,0.6870948733058339,0.7208655332302937
10.0,sqrt,1,2,300,0.7367602759692936,0.7584635416666666,0.6865055981143194,0.7206928549334983
10.0,sqrt,1,2,400,0.7377319988339326,0.7597741094700261,0.6870948733058339,0.7216090768437339
10.0,sqrt,1,5,200,0.7362744145369741,0.7628843176288431,0.6774700451777647,0.7176446109030379
10.0,sqrt,1,5,300,0.7356913808181906,0.7612960105796782,0.6784521704969554,0.7174906522642294
10.0,sqrt,1,5,400,0.7361772422505102,0.7622516556291391,0.6782557454331173,0.7178048019956346
10.0,sqrt,1,10,200,0.7376348265474687,0.7625741269492642,0.681987821646042,0.7200331812525923
10.0,sqrt,1,10,300,0.7374404819745408,0.7621242045205179,0.6821842467098802,0.7199419568822554
10.0,sqrt,1,10,400,0.7370517928286853,0.760655737704918,0.6835592221567472,0.7200496585971446
10.0,sqrt,2,2,200,0.7374404819745408,0.7616648411829134,0.6829699469652327,0.7201739850869926
10.0,sqrt,2,2,300,0.7370517928286853,0.7609980302035456,0.6829699469652327,0.7198757763975155
10.0,sqrt,2,2,400,0.739286755417355,0.762882096069869,0.6863091730504812,0.7225726398511012
10.0,sqrt,2,5,200,0.7369546205422214,0.7615182097411145,0.6817913965822039,0.7194527930355478
10.0,sqrt,2,5,300,0.7364687591099018,0.76,0.6829699469652327,0.7194289261328367
10.0,sqrt,2,5,400,0.7370517928286853,0.7599738391105297,0.6847377725397761,0.7203967761934283
10.0,sqrt,2,10,200,0.738217860266252,0.7612818835840418,0.6859163229228049,0.7216367017978921
10.0,sqrt,2,10,300,0.7377319988339326,0.760339573356552,0.6861127479866431,0.7213216313887455
10.0,sqrt,2,10,400,0.7376348265474687,0.760287393860222,0.6859163229228049,0.7211895910780669
10.0,sqrt,4,2,200,0.7393839277038189,0.7607707295951505,0.6902376743272441,0.7237899073120494
10.0,sqrt,4,2,300,0.7386065494121077,0.7601300108342361,0.6890591239442153,0.7228518442200701
10.0,sqrt,4,2,400,0.7378291711203965,0.759713479487736,0.6874877234335102,0.7217983089296762
10.0,sqrt,4,5,200,0.7393839277038189,0.7607707295951505,0.6902376743272441,0.7237899073120494
10.0,sqrt,4,5,300,0.7386065494121077,0.7601300108342361,0.6890591239442153,0.7228518442200701
10.0,sqrt,4,5,400,0.7378291711203965,0.759713479487736,0.6874877234335102,0.7217983089296762
10.0,sqrt,4,10,200,0.7374404819745408,0.7621242045205179,0.6821842467098802,0.7199419568822554
10.0,sqrt,4,10,300,0.7376348265474687,0.7615401443885365,0.6837556472205853,0.7205547505692403
10.0,sqrt,4,10,400,0.7384122048391799,0.7608175690367471,0.687291298369672,0.72218782249742
10.0,log2,1,2,200,0.7367602759692936,0.7581274382314694,0.6870948733058339,0.7208655332302937
10.0,log2,1,2,300,0.7367602759692936,0.7584635416666666,0.6865055981143194,0.7206928549334983
10.0,log2,1,2,400,0.7377319988339326,0.7597741094700261,0.6870948733058339,0.7216090768437339
10.0,log2,1,5,200,0.7362744145369741,0.7628843176288431,0.6774700451777647,0.7176446109030379
10.0,log2,1,5,300,0.7356913808181906,0.7612960105796782,0.6784521704969554,0.7174906522642294
10.0,log2,1,5,400,0.7361772422505102,0.7622516556291391,0.6782557454331173,0.7178048019956346
10.0,log2,1,10,200,0.7376348265474687,0.7625741269492642,0.681987821646042,0.7200331812525923
10.0,log2,1,10,300,0.7374404819745408,0.7621242045205179,0.6821842467098802,0.7199419568822554
10.0,log2,1,10,400,0.7370517928286853,0.760655737704918,0.6835592221567472,0.7200496585971446
10.0,log2,2,2,200,0.7374404819745408,0.7616648411829134,0.6829699469652327,0.7201739850869926
10.0,log2,2,2,300,0.7370517928286853,0.7609980302035456,0.6829699469652327,0.7198757763975155
10.0,log2,2,2,400,0.739286755417355,0.762882096069869,0.6863091730504812,0.7225726398511012
10.0,log2,2,5,200,0.7369546205422214,0.7615182097411145,0.6817913965822039,0.7194527930355478
10.0,log2,2,5,300,0.7364687591099018,0.76,0.6829699469652327,0.7194289261328367
10.0,log2,2,5,400,0.7370517928286853,0.7599738391105297,0.6847377725397761,0.7203967761934283
10.0,log2,2,10,200,0.738217860266252,0.7612818835840418,0.6859163229228049,0.7216367017978921
10.0,log2,2,10,300,0.7377319988339326,0.760339573356552,0.6861127479866431,0.7213216313887455
10.0,log2,2,10,400,0.7376348265474687,0.760287393860222,0.6859163229228049,0.7211895910780669
10.0,log2,4,2,200,0.7393839277038189,0.7607707295951505,0.6902376743272441,0.7237899073120494
10.0,log2,4,2,300,0.7386065494121077,0.7601300108342361,0.6890591239442153,0.7228518442200701
10.0,log2,4,2,400,0.7378291711203965,0.759713479487736,0.6874877234335102,0.7217983089296762
10.0,log2,4,5,200,0.7393839277038189,0.7607707295951505,0.6902376743272441,0.7237899073120494
10.0,log2,4,5,300,0.7386065494121077,0.7601300108342361,0.6890591239442153,0.7228518442200701
10.0,log2,4,5,400,0.7378291711203965,0.759713479487736,0.6874877234335102,0.7217983089296762
10.0,log2,4,10,200,0.7374404819745408,0.7621242045205179,0.6821842467098802,0.7199419568822554
10.0,log2,4,10,300,0.7376348265474687,0.7615401443885365,0.6837556472205853,0.7205547505692403
10.0,log2,4,10,400,0.7384122048391799,0.7608175690367471,0.687291298369672,0.72218782249742
15.0,sqrt,1,2,200,0.7350111748129433,0.7495777027027027,0.6973089766254174,0.7224992367965809
15.0,sqrt,1,2,300,0.7361772422505102,0.7513753702920017,0.6975054016892556,0.7234389324640929
15.0,sqrt,1,2,400,0.7369546205422214,0.7521150592216582,0.6984875270084463,0.7243100112027702
15.0,sqrt,1,5,200,0.7368574482557575,0.7525969896120416,0.6973089766254174,0.7238988580750407
15.0,sqrt,1,5,300,0.7359828976775824,0.7519100169779287,0.6959340011785504,0.7228399469550137
15.0,sqrt,1,5,400,0.7362744145369741,0.7524962821329935,0.6957375761147122,0.7230046948356808
15.0,sqrt,1,10,200,0.7393839277038189,0.7567682796845022,0.6973089766254174,0.7258229400940504
15.0,sqrt,1,10,300,0.7390924108444271,0.7568317677198976,0.6963268513062266,0.7253196930946292
15.0,sqrt,1,10,400,0.7383150325527159,0.7547811304717382,0.6977018267530937,0.7251199346738798
15.0,sqrt,2,2,200,0.7365659313963657,0.7527612574341547,0.6961304262423885,0.7233391162363506
15.0,sqrt,2,2,300,0.7369546205422214,0.7530785562632697,0.6967197014339029,0.7238036935006632
15.0,sqrt,2,2,400,0.7386065494121077,0.754289345477653,0.699469652327637,0.7258459029759479
15.0,sqrt,2,5,200,0.7366631036828296,0.7517445548741806,0.6982911019446081,0.7240325865580448
15.0,sqrt,2,5,300,0.7368574482557575,0.7522760957018844,0.6978982518169319,0.7240676584471164
15.0,sqrt,2,5,400,0.7373433096880769,0.752858958068615,0.6982911019446081,0.7245490675634363
15.0,sqrt,2,10,200,0.7373433096880769,0.7548015364916774,0.6947554507955215,0.7235348266339368
15.0,sqrt,2,10,300,0.7378291711203965,0.7544120773974059,0.6969161264977412,0.7245252195221564
15.0,sqrt,2,10,400,0.7378291711203965,0.7543039319872477,0.6971125515615793,0.7245814618211515
15.0,sqrt,4,2,200,0.7374404819745408,0.7532329870680518,0.6978982518169319,0.7245106035889071
15.0,sqrt,4,2,300,0.7376348265474687,0.7537677775419231,0.6975054016892556,0.7245460110181595
15.0,sqrt,4,2,400,0.7383150325527159,0.7542408821034775,0.6986839520722844,0.7254002243295605
15.0,sqrt,4,5,200,0.7374404819745408,0.7532329870680518,0.6978982518169319,0.7245106035889071
15.0,sqrt,4,5,300,0.7376348265474687,0.7537677775419231,0.6975054016892556,0.7245460110181595
15.0,sqrt,4,5,400,0.7383150325527159,0.7542408821034775,0.6986839520722844,0.7254002243295605
15.0,sqrt,4,10,200,0.7390924108444271,0.7545493017350825,0.7004517776468278,0.7264948558622797
15.0,sqrt,4,10,300,0.7393839277038189,0.7549206349206349,0.7006482027106659,0.7267726161369193
15.0,sqrt,4,10,400,0.7399669614226023,0.7555555555555555,0.7012374779021803,0.7273838630806846
15.0,log2,1,2,200,0.7350111748129433,0.7495777027027027,0.6973089766254174,0.7224992367965809
15.0,log2,1,2,300,0.7361772422505102,0.7513753702920017,0.6975054016892556,0.7234389324640929
15.0,log2,1,2,400,0.7369546205422214,0.7521150592216582,0.6984875270084463,0.7243100112027702
15.0,log2,1,5,200,0.7368574482557575,0.7525969896120416,0.6973089766254174,0.7238988580750407
15.0,log2,1,5,300,0.7359828976775824,0.7519100169779287,0.6959340011785504,0.7228399469550137
15.0,log2,1,5,400,0.7362744145369741,0.7524962821329935,0.6957375761147122,0.7230046948356808
15.0,log2,1,10,200,0.7393839277038189,0.7567682796845022,0.6973089766254174,0.7258229400940504
15.0,log2,1,10,300,0.7390924108444271,0.7568317677198976,0.6963268513062266,0.7253196930946292
15.0,log2,1,10,400,0.7383150325527159,0.7547811304717382,0.6977018267530937,0.7251199346738798
15.0,log2,2,2,200,0.7365659313963657,0.7527612574341547,0.6961304262423885,0.7233391162363506
15.0,log2,2,2,300,0.7369546205422214,0.7530785562632697,0.6967197014339029,0.7238036935006632
15.0,log2,2,2,400,0.7386065494121077,0.754289345477653,0.699469652327637,0.7258459029759479
15.0,log2,2,5,200,0.7366631036828296,0.7517445548741806,0.6982911019446081,0.7240325865580448
15.0,log2,2,5,300,0.7368574482557575,0.7522760957018844,0.6978982518169319,0.7240676584471164
15.0,log2,2,5,400,0.7373433096880769,0.752858958068615,0.6982911019446081,0.7245490675634363
15.0,log2,2,10,200,0.7373433096880769,0.7548015364916774,0.6947554507955215,0.7235348266339368
15.0,log2,2,10,300,0.7378291711203965,0.7544120773974059,0.6969161264977412,0.7245252195221564
15.0,log2,2,10,400,0.7378291711203965,0.7543039319872477,0.6971125515615793,0.7245814618211515
15.0,log2,4,2,200,0.7374404819745408,0.7532329870680518,0.6978982518169319,0.7245106035889071
15.0,log2,4,2,300,0.7376348265474687,0.7537677775419231,0.6975054016892556,0.7245460110181595
15.0,log2,4,2,400,0.7383150325527159,0.7542408821034775,0.6986839520722844,0.7254002243295605
15.0,log2,4,5,200,0.7374404819745408,0.7532329870680518,0.6978982518169319,0.7245106035889071
15.0,log2,4,5,300,0.7376348265474687,0.7537677775419231,0.6975054016892556,0.7245460110181595
15.0,log2,4,5,400,0.7383150325527159,0.7542408821034775,0.6986839520722844,0.7254002243295605
15.0,log2,4,10,200,0.7390924108444271,0.7545493017350825,0.7004517776468278,0.7264948558622797
15.0,log2,4,10,300,0.7393839277038189,0.7549206349206349,0.7006482027106659,0.7267726161369193
15.0,log2,4,10,400,0.7399669614226023,0.7555555555555555,0.7012374779021803,0.7273838630806846
20.0,sqrt,1,2,200,0.73442814109416,0.7487341772151899,0.6971125515615793,0.7220018309429356
20.0,sqrt,1,2,300,0.7332620736565931,0.7476773648648649,0.6955411510508741,0.7206675485906177
20.0,sqrt,1,2,400,0.7335535905159848,0.748676688545416,0.6945590257316834,0.7206032198899531
20.0,sqrt,1,5,200,0.7349140025264794,0.75015879737455,0.6959340011785504,0.722029753413491
20.0,sqrt,1,5,300,0.7350111748129433,0.7509554140127389,0.6947554507955215,0.721763085399449
20.0,sqrt,1,5,400,0.7341366242347682,0.7489955593148657,0.6957375761147122,0.7213849287169043
20.0,sqrt,1,10,200,0.7342337965212321,0.7486281131279021,0.6967197014339029,0.7217417845152101
20.0,sqrt,1,10,300,0.7354970362452629,0.7494209307222574,0.6990768021999607,0.7233739837398374
20.0,sqrt,1,10,400,0.7358857253911184,0.7504749841671944,0.6982911019446081,0.7234432234432234
20.0,sqrt,2,2,200,0.7321931785054903,0.7458412297325753,0.6957375761147122,0.7199186991869919
20.0,sqrt,2,2,300,0.7320960062190264,0.7454774926377787,0.6961304262423885,0.7199593702386998
20.0,sqrt,2,2,400,0.7317073170731707,0.7449537426408747,0.6959340011785504,0.719610033512745
20.0,sqrt,2,5,200,0.7340394519483043,0.748207507380852,0.6969161264977412,0.7216515814095393
20.0,sqrt,2,5,300,0.7338451073753766,0.7479966258962463,0.6967197014339029,0.7214481846842266
20.0,sqrt,2,5,400,0.7352055193858712,0.7487384356602187,0.699469652327637,0.7232659693307606
20.0,sqrt,2,10,200,0.7359828976775824,0.75,0.699469652327637,0.7238540502083545
20.0,sqrt,2,10,300,0.7351083470994072,0.7492096944151738,0.6982911019446081,0.7228548190321269
20.0,sqrt,2,10,400,0.7349140025264794,0.7489989462592203,0.69809467688077,0.7226514843432289
20.0,sqrt,4,2,200,0.7358857253911184,0.7507926442612556,0.6977018267530937,0.7232742822235797
20.0,sqrt,4,2,300,0.7360800699640463,0.7511101712835695,0.6977018267530937,0.7234215885947047
20.0,sqrt,4,2,400,0.7367602759692936,0.7517970401691332,0.6984875270084463,0.7241625089094796
20.0,sqrt,4,5,200,0.7358857253911184,0.7507926442612556,0.6977018267530937,0.7232742822235797
20.0,sqrt,4,5,300,0.7360800699640463,0.7511101712835695,0.6977018267530937,0.7234215885947047
20.0,sqrt,4,5,400,0.7367602759692936,0.7517970401691332,0.6984875270084463,0.7241625089094796
20.0,sqrt,4,10,200,0.7371489651151492,0.7504198152812762,0.702219603221371,0.7255200405885337
20.0,sqrt,4,10,300,0.7367602759692936,0.7504205214465938,0.7010410528383422,0.7248908296943232
20.0,sqrt,4,10,400,0.7371489651151492,0.7504198152812762,0.702219603221371,0.7255200405885337
20.0,log2,1,2,200,0.73442814109416,0.7487341772151899,0.6971125515615793,0.7220018309429356
20.0,log2,1,2,300,0.7332620736565931,0.7476773648648649,0.6955411510508741,0.7206675485906177
20.0,log2,1,2,400,0.7335535905159848,0.748676688545416,0.6945590257316834,0.7206032198899531
20.0,log2,1,5,200,0.7349140025264794,0.75015879737455,0.6959340011785504,0.722029753413491
20.0,log2,1,5,300,0.7350111748129433,0.7509554140127389,0.6947554507955215,0.721763085399449
20.0,log2,1,5,400,0.7341366242347682,0.7489955593148657,0.6957375761147122,0.7213849287169043
20.0,log2,1,10,200,0.7342337965212321,0.7486281131279021,0.6967197014339029,0.7217417845152101
20.0,log2,1,10,300,0.7354970362452629,0.7494209307222574,0.6990768021999607,0.7233739837398374
20.0,log2,1,10,400,0.7358857253911184,0.7504749841671944,0.6982911019446081,0.7234432234432234
20.0,log2,2,2,200,0.7321931785054903,0.7458412297325753,0.6957375761147122,0.7199186991869919
20.0,log2,2,2,300,0.7320960062190264,0.7454774926377787,0.6961304262423885,0.7199593702386998
20.0,log2,2,2,400,0.7317073170731707,0.7449537426408747,0.6959340011785504,0.719610033512745
20.0,log2,2,5,200,0.7340394519483043,0.748207507380852,0.6969161264977412,0.7216515814095393
20.0,log2,2,5,300,0.7338451073753766,0.7479966258962463,0.6967197014339029,0.7214481846842266
20.0,log2,2,5,400,0.7352055193858712,0.7487384356602187,0.699469652327637,0.7232659693307606
20.0,log2,2,10,200,0.7359828976775824,0.75,0.699469652327637,0.7238540502083545
20.0,log2,2,10,300,0.7351083470994072,0.7492096944151738,0.6982911019446081,0.7228548190321269
20.0,log2,2,10,400,0.7349140025264794,0.7489989462592203,0.69809467688077,0.7226514843432289
20.0,log2,4,2,200,0.7358857253911184,0.7507926442612556,0.6977018267530937,0.7232742822235797
20.0,log2,4,2,300,0.7360800699640463,0.7511101712835695,0.6977018267530937,0.7234215885947047
20.0,log2,4,2,400,0.7367602759692936,0.7517970401691332,0.6984875270084463,0.7241625089094796
20.0,log2,4,5,200,0.7358857253911184,0.7507926442612556,0.6977018267530937,0.7232742822235797
20.0,log2,4,5,300,0.7360800699640463,0.7511101712835695,0.6977018267530937,0.7234215885947047
20.0,log2,4,5,400,0.7367602759692936,0.7517970401691332,0.6984875270084463,0.7241625089094796
20.0,log2,4,10,200,0.7371489651151492,0.7504198152812762,0.702219603221371,0.7255200405885337
20.0,log2,4,10,300,0.7367602759692936,0.7504205214465938,0.7010410528383422,0.7248908296943232
20.0,log2,4,10,400,0.7371489651151492,0.7504198152812762,0.702219603221371,0.7255200405885337
,sqrt,1,2,200,0.7115926537751434,0.7131954207672223,0.6975054016892556,0.7052631578947368
,sqrt,1,2,300,0.7122728597803907,0.7131705364291433,0.6998625024553133,0.7064538514920194
,sqrt,1,2,400,0.7138276163638131,0.7145141943222711,0.7020231781575329,0.7082136133954225
,sqrt,1,5,200,0.722670294432028,0.726096624216697,0.7055588293066195,0.7156804144251843
,sqrt,1,5,300,0.7215042269944612,0.7246113466585907,0.7049695541151051,0.7146555157307846
,sqrt,1,5,400,0.7227674667184919,0.7256958450988302,0.7067373796896484,0.7160911533485919
,sqrt,1,10,200,0.7295695267709649,0.7358953393295176,0.7071302298173247,0.7212260843433838
,sqrt,1,10,300,0.7292780099115732,0.73602293671923,0.7059516794342958,0.7206737517545618
,sqrt,1,10,400,0.7286949761927898,0.7358916478555305,0.7043802789235907,0.7197912484945805
,sqrt,2,2,200,0.7289864930521816,0.7364420706655711,0.7041838538597525,0.7199518023897982
,sqrt,2,2,300,0.7291808376251093,0.7361623616236163,0.7053624042427814,0.7204333433644298
,sqrt,2,2,400,0.7295695267709649,0.7364754098360655,0.7059516794342958,0.7208905826898004
,sqrt,2,5,200,0.7308327664949956,0.739327696432254,0.7041838538597525,0.721327967806841
,sqrt,2,5,300,0.730541249635604,0.738772146683148,0.7043802789235907,0.7211664152840623
,sqrt,2,5,400,0.7299582159168205,0.7377622377622378,0.7045767039874288,0.7207877022003416
,sqrt,2,10,200,0.734330968807696,0.7437435367114787,0.7063445295619721,0.7245617570018135
,sqrt,2,10,300,0.7330677290836654,0.7428512225445504,0.7041838538597525,0.7230009075325199
,sqrt,2,10,400,0.7332620736565931,0.743058433485288,0.7043802789235907,0.7232025814258344
,sqrt,4,2,200,0.7354970362452629,0.7474409860037602,0.7028088784128855,0.7244381453735574
,sqrt,4,2,300,0.7359828976775824,0.74811872909699,0.7030053034767236,0.7248607594936709
,sqrt,4,2,400,0.7360800699640463,0.7477571458376799,0.7039874287959144,0.7252124645892352
,sqrt,4,5,200,0.7354970362452629,0.7474409860037602,0.7028088784128855,0.7244381453735574
,sqrt,4,5,300,0.7359828976775824,0.74811872909699,0.7030053034767236,0.7248607594936709
,sqrt,4,5,400,0.7360800699640463,0.7477571458376799,0.7039874287959144,0.7252124645892352
,sqrt,4,10,200,0.7356913808181906,0.7478569935187122,0.7026124533490473,0.7245290662345554
,sqrt,4,10,300,0.7354970362452629,0.7470281543274244,0.703594578668238,0.7246611369613595
,sqrt,4,10,400,0.7346224856670878,0.7455264253017062,0.7037910037320763,0.7240577952915025
,log2,1,2,200,0.7115926537751434,0.7131954207672223,0.6975054016892556,0.7052631578947368
,log2,1,2,300,0.7122728597803907,0.7131705364291433,0.6998625024553133,0.7064538514920194
,log2,1,2,400,0.7138276163638131,0.7145141943222711,0.7020231781575329,0.7082136133954225
,log2,1,5,200,0.722670294432028,0.726096624216697,0.7055588293066195,0.7156804144251843
,log2,1,5,300,0.7215042269944612,0.7246113466585907,0.7049695541151051,0.7146555157307846
,log2,1,5,400,0.7227674667184919,0.7256958450988302,0.7067373796896484,0.7160911533485919
,log2,1,10,200,0.7295695267709649,0.7358953393295176,0.7071302298173247,0.7212260843433838
,log2,1,10,300,0.7292780099115732,0.73602293671923,0.7059516794342958,0.7206737517545618
,log2,1,10,400,0.7286949761927898,0.7358916478555305,0.7043802789235907,0.7197912484945805
,log2,2,2,200,0.7289864930521816,0.7364420706655711,0.7041838538597525,0.7199518023897982
,log2,2,2,300,0.7291808376251093,0.7361623616236163,0.7053624042427814,0.7204333433644298
,log2,2,2,400,0.7295695267709649,0.7364754098360655,0.7059516794342958,0.7208905826898004
,log2,2,5,200,0.7308327664949956,0.739327696432254,0.7041838538597525,0.721327967806841
,log2,2,5,300,0.730541249635604,0.738772146683148,0.7043802789235907,0.7211664152840623
,log2,2,5,400,0.7299582159168205,0.7377622377622378,0.7045767039874288,0.7207877022003416
,log2,2,10,200,0.734330968807696,0.7437435367114787,0.7063445295619721,0.7245617570018135
,log2,2,10,300,0.7330677290836654,0.7428512225445504,0.7041838538597525,0.7230009075325199
,log2,2,10,400,0.7332620736565931,0.743058433485288,0.7043802789235907,0.7232025814258344
,log2,4,2,200,0.7354970362452629,0.7474409860037602,0.7028088784128855,0.7244381453735574
,log2,4,2,300,0.7359828976775824,0.74811872909699,0.7030053034767236,0.7248607594936709
,log2,4,2,400,0.7360800699640463,0.7477571458376799,0.7039874287959144,0.7252124645892352
,log2,4,5,200,0.7354970362452629,0.7474409860037602,0.7028088784128855,0.7244381453735574
,log2,4,5,300,0.7359828976775824,0.74811872909699,0.7030053034767236,0.7248607594936709
,log2,4,5,400,0.7360800699640463,0.7477571458376799,0.7039874287959144,0.7252124645892352
,log2,4,10,200,0.7356913808181906,0.7478569935187122,0.7026124533490473,0.7245290662345554
,log2,4,10,300,0.7354970362452629,0.7470281543274244,0.703594578668238,0.7246611369613595
,log2,4,10,400,0.7346224856670878,0.7455264253017062,0.7037910037320763,0.7240577952915025
